Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,RSI_14d
2023-02-17 00:00:00-05:00,150.6314217151784,151.27408335489702,149.14834246660095,150.82916259765625,59144100,0.0,0.0,,,
2023-02-21 00:00:00-05:00,148.50563686680903,149.59323413897312,146.735835945734,146.80503845214844,58867200,0.0,0.0,,,0.0
2023-02-22 00:00:00-05:00,147.19065212608928,148.2584708875877,145.4999504020457,147.23020935058594,51011300,0.0,0.0,,,0.8061825848475053
2023-02-23 00:00:00-05:00,148.39689471971093,148.64407457569817,145.57905341345287,147.7146759033203,48394200,0.0,0.0,,,1.7778725116088765
2023-02-24 00:00:00-05:00,145.4505202010405,145.52961956815125,144.07620075664735,145.05503845214844,55469600,0.0,0.0,,,1.6805447994398293
2023-02-27 00:00:00-05:00,146.0437354263551,147.48725716556407,145.7866587511589,146.25135803222656,44998500,0.0,0.0,,,4.220453640612405
2023-02-28 00:00:00-05:00,145.39117653628946,147.39827551462352,145.17365708267755,145.7471160888672,50547000,0.0,0.0,,,4.171537603077681
2023-03-01 00:00:00-05:00,145.17366452678502,145.56914623363537,143.37418806129784,143.67080688476562,55479000,0.0,0.0,,,3.9676176629135824
2023-03-02 00:00:00-05:00,142.75132894674115,145.05504723585858,142.27673271533786,144.26406860351562,52238100,0.0,0.0,,,5.390720379817154
2023-03-03 00:00:00-05:00,146.3700024688502,149.40537804304904,145.66802019550744,149.32627868652344,70732300,0.0,0.0,,,16.730003837891573
2023-03-06 00:00:00-05:00,152.05515407809082,154.53684949594242,151.72888994336137,152.09471130371094,87558000,0.0,0.0,,,22.220309966231753
2023-03-07 00:00:00-05:00,151.96617914925054,152.29245838395036,149.4251779626418,149.88987731933594,56182000,0.0,0.0,,,21.031001292511107
2023-03-08 00:00:00-05:00,151.08620232381537,151.73876071934626,150.11726157953802,151.14552307128906,47204800,0.0,0.0,,,23.54086296203714
2023-03-09 00:00:00-05:00,151.82774843104707,152.79668921738386,148.53531102339875,148.89125061035156,53833600,0.0,0.0,,,22.178037540211278
2023-03-10 00:00:00-05:00,148.5155613274809,149.23732233138423,145.94488461714658,146.82484436035156,68572400,0.0,0.0,,,20.979094448276626
2023-03-13 00:00:00-04:00,146.14260123729179,151.41247705797895,146.03384150790953,148.77259826660156,84457100,0.0,0.0,,,25.089827844192286
2023-03-14 00:00:00-04:00,149.57344779147112,151.66952778576984,148.4067663113716,150.86866760253906,73695900,0.0,0.0,,,29.349246706053577
2023-03-15 00:00:00-04:00,149.48447760738804,151.52123700910988,148.22879983662045,151.26417541503906,77167900,0.0,0.0,,,30.156242471592122
2023-03-16 00:00:00-04:00,150.44357187257182,154.69506899796588,149.9294334770987,154.09194946289062,76161100,0.0,0.0,,,35.80233525577792
2023-03-17 00:00:00-04:00,154.31931404263202,154.9718724178721,152.53961624045886,153.25149536132812,98944600,0.0,0.0,148.69944229125977,,34.89932755539802
2023-03-20 00:00:00-04:00,153.3207323821306,156.03971087014546,152.4110972116962,155.6244354248047,73641400,0.0,0.0,148.9392059326172,,39.53627773379285
2023-03-21 00:00:00-04:00,155.54533387337614,157.60185682514813,154.7741189081368,157.48321533203125,73938300,0.0,0.0,149.47311477661134,,42.963376695017864
2023-03-22 00:00:00-04:00,157.50299444764113,160.31095376257457,156.02979719452793,156.04957580566406,75701800,0.0,0.0,149.91408309936523,,41.031642582655515
2023-03-23 00:00:00-04:00,157.03829837049406,159.72761624709545,155.9012620500719,157.1371612548828,67622100,0.0,0.0,150.38520736694335,,43.1209826474099
2023-03-24 00:00:00-04:00,157.06794158008978,158.53124185441158,156.06934056292735,158.4422607421875,59196500,0.0,0.0,151.0545684814453,,45.611349344647685
2023-03-27 00:00:00-04:00,158.13578467553296,158.9564235953307,156.08912825748425,156.4945068359375,52390300,0.0,0.0,151.56672592163085,,42.61270172383844
2023-03-28 00:00:00-04:00,156.1879947191645,156.70213299816345,154.22043780927265,155.87159729003906,45992200,0.0,0.0,152.07294998168945,,41.669198802755965
2023-03-29 00:00:00-04:00,157.57218957153339,159.2332458359396,157.55242604798346,158.95640563964844,51305700,0.0,0.0,152.83722991943358,,47.829691771982844
2023-03-30 00:00:00-04:00,159.70784921727477,160.6372479005565,159.45078759523014,160.5284881591797,49501700,0.0,0.0,153.65045089721679,,50.687955934238374
2023-03-31 00:00:00-04:00,160.60756909681194,163.13868814753852,160.08354906302839,163.03981018066406,68749800,0.0,0.0,154.33612747192382,,54.93538715875693
2023-04-03 00:00:00-04:00,162.41695595857647,164.41415847965385,162.36751696640553,164.29551696777344,56976200,0.0,0.0,154.94616775512696,,56.93289964468003
